Month,Year,Price,GDP Index,Oil Reserve,Oil Production,US Dollar Index,SNP500Index,US PPI
1,1994,14.13,7074.387,587192,8.068,91.365,472.99,52.6
2,1994,13.78,7122.904,587193,8.061,90.817,471.58,58.8
3,1994,13.62,7149.665,590256,8.068,90.818,463.81,58.6
4,1994,15.08,7186.463,591173,8.083,90.681,447.23,55.1
5,1994,16.28,7290.069,591178,8.063,89.919,450.9,54
6,1994,17.17,7264.261,591670,8.063,89.607,454.83,54.9
7,1994,17.88,7299.327,591673,8.073,88.291,451.4,58.2
8,1994,17,7351.543,591675,8.093,88.032,464.24,58.5
9,1994,16.2,7342.356,591675,8.153,87.025,466.96,56.1
10,1994,16.47,7429.175,591675,8.218,86.31,463.81,55.3
11,1994,17.08,7431.643,591673,8.218,86.493,461.01,56.1
12,1994,15.94,7505.045,591670,8.273,88.125,455.19,54.3
1,1995,16.9,7542.298,591671,8.12,89.583,465.25,55.3
2,1995,17.42,7488.438,591673,8.22,88.908,481.92,54.7
3,1995,17.35,7536.131,591672,8.11,87.782,493.15,57.4
4,1995,18.65,7539.271,591671,8.22,84.756,507.91,58.9
5,1995,18.42,7560.692,591669,8.4,84.3,523.81,59.2
6,1995,17.36,7643.028,591672,8.1,84.234,539.35,58.1
7,1995,16.08,7630.441,591670,8.41,84.049,557.37,55.3
8,1995,16.47,7674.163,591673,8.425,85.928,559.11,56.3
9,1995,16.82,7744.771,591668,8.315,86.802,578.77,56.6
10,1995,16.12,7747.16,591663,8.315,86.684,582.92,55.3
11,1995,16.74,7747.77,591648,8.02,87.443,595.53,56.5
12,1995,17.87,7822.828,591640,8.11,87.673,614.57,59.9
1,1996,17.8,7839.923,591630,8.118,88.278,614.42,63.8
2,1996,17.7,7853.002,591617,8.248,88.187,649.54,61
3,1996,19.4,7912.48,589125,8.248,88.251,647.07,64.8
4,1996,20.66,8025.226,586485,8.088,88.27,647.17,75.9
5,1996,19.06,8009.307,585803,8.135,88.509,661.23,74.6
6,1996,18.51,8063.987,584454,8.195,88.787,668.5,67.2
7,1996,19.59,8099.356,582904,8.295,88.699,644.07,68.4
8,1996,20.44,8123.033,577573,8.22,88.099,662.68,67.3
9,1996,22.26,8171.834,573659,8.2,88.508,674.88,71.4
10,1996,23.61,8250.704,573617,8.255,88.977,701.46,75.8
11,1996,22.39,8281.81,569814,8.255,88.537,735.67,72.4
12,1996,23.62,8246.799,565816,8.358,89.086,743.25,76.1
1,1997,23.23,8308.859,563482,8.072,89.846,766.22,74.4
2,1997,20.42,8385.601,563474,8.212,91.393,798.39,74.8
3,1997,19.33,8393.505,563468,8.316,92.309,792.16,70
4,1997,17.88,8511.387,563463,8.368,92.665,763.93,66.3
5,1997,19.37,8476.494,563458,8.348,91.575,833.09,62.7
6,1997,17.92,8568.594,563454,8.341,91.135,876.29,63.6
7,1997,18.33,8620.371,563451,8.36,92.16,925.29,60.4
8,1997,18.7,8655.671,563449,8.458,93.711,927.24,63.1
9,1997,18.66,8712.427,563444,8.463,93.953,937.02,58.4
10,1997,20.04,8748.274,563439,8.463,94.614,951.16,60.5
11,1997,19.09,8736.37,563430,8.414,95.997,938.92,61.5
12,1997,17.09,8813.077,563429,8.521,99.362,962.37,58.9
1,1998,15,8772.701,563430,8.765,102.108,963.36,54.8
2,1998,14.1,8894.549,563426,8.76,100.39,1023.74,53.4
3,1998,13.12,8932.19,563426,8.46,100.06,1076.83,50.2
4,1998,13.5,8925.518,563426,8.585,99.785,1112.2,51
5,1998,14.03,8953.127,563428,8.625,100.562,1108.42,49.9
6,1998,12.48,9030.452,563429,8.325,102.727,1108.39,47.7
7,1998,12.7,9049.687,563426,8.275,103.031,1156.58,46.3
8,1998,12.49,9100.78,563426,8.225,104.641,1074.62,44.7
9,1998,13.8,9212.825,563426,8.173,102.837,1020.64,44.6
10,1998,13.26,9266.796,564015,8.22,99.946,1032.47,44.1
11,1998,11.88,9307.057,568524,8.17,99.608,1144.43,43.1
12,1998,10.41,9308.119,571405,8.11,98.711,1190.05,39.4
1,1999,11.44,9357.771,571951,8.065,98.773,1248.77,41.2
2,1999,10.75,9410.992,571950,8.165,99.991,1246.58,38.6
3,1999,13.17,9466.283,571950,8.22,101.085,1281.66,46.3
4,1999,15.87,9496.033,572451,7.665,100.998,1334.76,54.5
5,1999,16.06,9536.804,573595,7.665,100.725,1332.07,53.2
6,1999,16.39,9545.793,574798,7.61,101.153,1322.55,55.6
7,1999,18.99,9659.137,575701,7.61,101.427,1380.99,61.8
8,1999,20.27,9660.688,574875,7.71,100.435,1327.49,66.9
9,1999,22.7,9740.053,575472,7.735,100.021,1318.17,63.4
10,1999,21.95,9819.704,572270,7.845,99.554,1300.01,63.1
11,1999,24.16,9890.74,569115,7.865,99.841,1391,66.8
12,1999,25.1,9990.064,567241,7.863,99.946,1428.68,73.8
1,2000,25.31,9924.234,568498,7.863,99.88,1425.59,80.3
2,2000,27.22,9995.334,569370,7.865,101.248,1388.87,89.7
3,2000,27.49,10086.969,569413,7.865,101.733,1442.21,92.5
4,2000,23.47,10224.854,569413,8.1,102.299,1461.36,84
5,2000,27.19,10232.034,569413,8.2,104.54,1418.48,82.3
6,2000,29.62,10286.272,568893,8.25,103.656,1461.96,87.5
7,2000,28.18,10234.188,570351,8.39,103.93,1473,90.8
8,2000,29.26,10336.064,571365,8.823,104.4,1485.46,90.5
9,2000,32.08,10384.242,570346,8.975,105.888,1468.05,104.6
10,2000,31.4,10435.222,564497,8.8,107.392,1390.14,102.1
11,2000,32.33,10445.458,547506,8.9,108.001,1378.04,105.4
12,2000,25.2,10426.551,540678,8.8,107.132,1330.93,107.3
1,2001,25.96,10467.681,541675,8.7,107.491,1335.63,103.4
2,2001,27.24,10463.019,541677,8.32,108.298,1305.75,97.7
3,2001,25.02,10479.993,542290,8.3,109.891,1185.85,85.1
4,2001,25.72,10565.339,542350,7.95,110.528,1189.84,88.7
5,2001,27.55,10640.007,543270,8,110.577,1270.37,92.5
6,2001,26.97,10591.654,543270,8.05,111.406,1238.71,91.5
7,2001,24.8,10585.173,543734,8.25,111.536,1204.45,81.9
8,2001,25.82,10699.215,543734,8.07,109.554,1178.5,80.3
9,2001,25.21,10509.672,544760,7.8,110.16,1044.64,83.6
10,2001,20.73,10639.767,545209,7.67,110.54,1076.59,69.8
11,2001,18.69,10587.652,547325,7.67,111.01,1129.68,70
12,2001,18.52,10753.976,550241,7.6,110.941,1144.93,58.9
1,2002,19.15,10786.905,554597,7.3,112.186,1140.21,61
2,2002,19.98,10748.901,559951,7.21,112.809,1100.67,63.6
3,2002,23.64,10814.694,561486,7.31,112.24,1153.79,71.2
4,2002,25.43,10858.427,566742,7.455,112.056,1111.93,75.1
5,2002,25.67,10870.048,571257,7.45,110.585,1079.25,75.4
6,2002,24.49,10933.905,576451,7.5,109.152,1014.02,74.8
7,2002,25.75,11001.836,578514,7.7,107.57,903.59,78.3
8,2002,26.78,10952.327,582261,7.73,108.87,912.55,78.4
9,2002,28.28,10997.957,587226,7.88,109.711,867.81,85.9
10,2002,27.53,10999.083,589622,7.9,110.509,854.63,90.4
11,2002,24.54,11053.236,595899,8.1,109.271,909.93,85.1
12,2002,27.89,11131.981,599091,8.05,108.679,899.18,92.7
1,2003,30.75,11135.847,599247,8.499,107.366,895.84,106.4
2,2003,32.88,11210.351,599247,8.797,107.506,837.03,133.6
3,2003,30.36,11176.189,599247,9.382,107.015,846.63,129.1
4,2003,25.56,11256.972,599585,9.521,105.837,890.03,99.9
5,2003,26.06,11275.212,603116,9.322,102.29,935.96,86.8
6,2003,27.92,11406.114,608541,8.628,101.789,988,89.5
7,2003,28.59,11468.599,612407,8.539,103.055,992.54,93.5
8,2003,29.68,11567.493,618300,8.539,104.424,989.53,96.3
9,2003,26.88,11663.915,624363,8.479,103.357,1019.44,84.2
10,2003,29.01,11699.768,630871,8.578,101.047,1038.73,95.3
11,2003,29.12,11786.119,633599,8.43,100.648,1049.9,93.3
12,2003,29.97,11830.815,638388,8.588,99.294,1080.64,103.8
1,2004,31.37,11805.932,641156,8.7,97.818,1132.52,117.1
2,2004,31.33,11926.516,646863,8.7,98.424,1143.36,113.1
3,2004,33.67,12037.894,652139,8.4,99.336,1123.98,109.3
